ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
1606086000320661606,1606086000000000000,0,1,111291,T,N,0,2822000000,52,4,23834,61396,NGF1
1606086000324606990,1606086000000000000,0,1,15228,T,N,0,19000000,5,4,19801,61397,NGF1-NGG1
1606086000328408491,1606086000000000000,0,1,215879,T,N,0,71000000,2,4,19716,61398,NGF1-NGH1
1606086000329003798,1606086000000000000,0,1,24441,T,N,0,184000000,2,4,18478,61399,NGF1-NGJ1
1606086000329710520,1606086000000000000,0,1,111293,T,N,0,2802000000,7,4,19122,61400,NGG1
1606086000334423983,1606086000000000000,0,1,215880,T,N,0,50000000,42,4,20527,61401,NGG1-NGH1
1606086000334697643,1606086000000000000,0,1,111294,T,N,0,2750000000,2,4,18452,61402,NGH1
1606086000334812867,1606086000000000000,0,1,24512,T,N,0,110000000,6,4,20095,61403,NGH1-NGJ1
1606086000337801001,1606086000000000000,0,1,111296,T,N,0,2638000000,6,4,20645,61404,NGJ1
1606086000339204938,1606086000000000000,0,1,111311,T,N,0,2762000000,1,4,18741,61405,NGV1
1606086000339891905,1606086000000000000,0,1,111284,T,N,0,2705000000,54,4,21682,61406,NGZ0
1606086000342649104,1606086000000000000,0,1,51363,T,N,0,-117000000,33,4,19855,61407,NGZ0-NGF1
1606086000382663435,1606086000000000000,0,1,51363,T,N,0,-117000000,4,4,18805,61491,NGZ0-NGF1
1606086000382663435,1606086000000000000,0,1,111284,T,N,0,2705000000,4,4,18805,61491,NGZ0
1606086000382663435,1606086000000000000,0,1,111291,T,N,0,2822000000,4,4,18805,61491,NGF1
1606086000444533765,1606086000006581553,0,1,111291,T,B,0,2824000000,1,4,18063,61671,NGF1
1606086000444533765,1606086000006581553,0,1,111291,T,B,0,2825000000,2,4,18063,61671,NGF1
1606086000482525512,1606086000350945071,0,1,111291,T,B,0,2825000000,1,4,18134,61793,NGF1
1606086000482525512,1606086000350945071,0,1,111291,T,B,0,2826000000,1,4,18134,61793,NGF1
1606086000483829670,1606086000350998447,0,1,111291,T,B,0,2826000000,4,4,18346,61797,NGF1
1606086000483829670,1606086000350998447,0,1,111291,T,B,0,2827000000,1,4,18346,61797,NGF1
1606086000483829670,1606086000350998447,0,1,111284,T,N,0,2710000000,1,4,18346,61797,NGZ0
1606086000483829670,1606086000350998447,0,1,51363,T,N,0,-117000000,1,4,18346,61797,NGZ0-NGF1
1606086000550868722,1606086000357222527,0,1,51363,T,B,0,-116000000,2,4,17595,62056,NGZ0-NGF1
1606086000616595880,1606086000372990631,0,1,111291,T,A,0,2827000000,1,4,17429,62588,NGF1
1606086000617261403,1606086000372990631,0,1,24512,T,B,0,110000000,1,4,17625,62590,NGH1-NGJ1
1606086000630267526,1606086000401524477,0,1,111291,T,B,0,2828000000,1,132,18030,62771,NGF1
1606086000630267526,1606086000401524477,0,1,51363,T,N,0,-116000000,1,4,18030,62771,NGZ0-NGF1
1606086000630267526,1606086000401524477,0,1,111284,T,N,0,2712000000,1,4,18030,62771,NGZ0
1606086000631685772,1606086000407601945,0,1,111291,T,A,0,2827000000,1,4,16490,62789,NGF1
1606086000634584738,1606086000425931327,0,1,111291,T,A,0,2827000000,1,4,19044,62850,NGF1
1606086000635282669,1606086000426316865,0,1,111291,T,A,0,2823000000,1,4,17954,62854,NGF1
1606086000636618526,1606086000426733069,0,1,111291,T,A,0,2824000000,1,4,18249,62859,NGF1
1606086000638395151,1606086000431888059,0,1,111291,T,A,0,2825000000,1,132,17975,62875,NGF1
1606086000638395151,1606086000431888059,0,1,111284,T,N,0,2710000000,1,4,17975,62875,NGZ0
1606086000638395151,1606086000431888059,0,1,51363,T,N,0,-115000000,1,4,17975,62875,NGZ0-NGF1
1606086000704313109,1606086000526911959,0,1,111291,T,A,0,2829000000,1,4,27331,63347,NGF1
1606086000704313109,1606086000526911959,0,1,111291,T,A,0,2828000000,1,4,27331,63347,NGF1
1606086000709239879,1606086000550977721,0,1,111291,T,B,0,2828000000,1,4,16845,63377,NGF1
1606086000735038850,1606086000630278751,0,1,111291,T,B,0,2828000000,1,4,20011,63544,NGF1
1606086000737416413,1606086000631696283,0,1,111291,T,B,0,2828000000,1,4,21766,63554,NGF1
1606086000777526353,1606086000685937971,0,1,24512,T,B,0,110000000,13,4,21428,63838,NGH1-NGJ1
1606086000778392439,1606086000685974949,0,1,24512,T,B,0,110000000,1,4,18053,63841,NGH1-NGJ1
1606086000797952026,1606086000736171431,0,1,15228,T,B,0,19000000,1,4,17519,64035,NGF1-NGG1
1606086000829749085,1606086000787985391,0,1,24512,T,B,0,110000000,1,4,17615,64271,NGH1-NGJ1
1606086000833055115,1606086000827990889,0,1,111296,T,N,0,2648000000,1,4,18187,64347,NGJ1
1606086000833055115,1606086000827990889,0,1,111298,T,A,0,2641000000,1,132,18187,64347,NGK1
1606086000833055115,1606086000827990889,0,1,204979,T,N,0,7000000,1,4,18187,64347,NGJ1-NGK1
1606086000836165233,1606086000833000705,0,1,111298,T,B,0,2641000000,1,132,18810,64395,NGK1
1606086000836165233,1606086000833000705,0,1,111291,T,N,0,2828000000,1,4,18810,64395,NGF1
1606086000836165233,1606086000833000705,0,1,204941,T,N,0,187000000,1,4,18810,64395,NGF1-NGK1
1606086000847973466,1606086000846406937,0,1,111291,T,A,0,2827000000,2,4,18462,64502,NGF1
1606086000849243148,1606086000847983353,0,1,111291,T,B,0,2828000000,2,4,18020,64510,NGF1
1606086000850109690,1606086000848432445,0,1,111291,T,B,0,2828000000,2,4,17812,64519,NGF1
1606086000850945569,1606086000849374763,0,1,111291,T,B,0,2828000000,1,4,18107,64526,NGF1
1606086000851299848,1606086000849909857,0,1,111296,T,B,0,2653000000,1,4,18862,64533,NGJ1
1606086000862289399,1606086000860738009,0,1,111291,T,A,0,2827000000,1,4,17749,64607,NGF1
1606086000863247345,1606086000862299845,0,1,111291,T,B,0,2827000000,1,4,18968,64615,NGF1
1606086000905394149,1606086000904022403,0,1,111291,T,B,0,2827000000,1,4,18837,64691,NGF1
1606086000916963647,1606086000915418737,0,1,111291,T,A,0,2826000000,1,4,18153,64720,NGF1
1606086000917983636,1606086000916975013,0,1,111291,T,B,0,2826000000,1,4,18610,64728,NGF1
1606086000963251966,1606086000960434787,0,1,111291,T,A,0,2825000000,5,4,20289,64787,NGF1
1606086000963251966,1606086000960434787,0,1,51363,T,N,0,-114000000,3,4,20289,64787,NGZ0-NGF1
1606086000963251966,1606086000960434787,0,1,111284,T,N,0,2711000000,3,4,20289,64787,NGZ0
1606086000965339938,1606086000963043719,0,1,111296,T,N,0,2648000000,1,4,18926,64807,NGJ1
1606086000965339938,1606086000963043719,0,1,24512,T,N,0,109000000,1,4,18926,64807,NGH1-NGJ1
1606086000965339938,1606086000963043719,0,1,111294,T,A,0,2757000000,2,4,18926,64807,NGH1
1606086000966037149,1606086000963067747,0,1,111293,T,A,0,2807000000,1,4,17600,64819,NGG1
1606086000973215171,1606086000968654245,0,1,111293,T,N,0,2810000000,1,4,19744,64907,NGG1
1606086000973215171,1606086000968654245,0,1,111284,T,N,0,2714000000,1,4,19744,64907,NGZ0
